Start (s),End (s),Segment
444.32,444.48,Right.
444.56,446.00,You'd get a primary key violation.
446.32,454.48,"We'd have to use something like a composite key or a strict string format, like uh date, station ID, and a sequential number for that specific day."
454.64,459.28,Something like 2026-0628 station A001.
459.60,460.16,Exactly.
460.48,467.12,We engineer the back-end schema to accept that specific string format as a valid alternative primary key.
467.36,472.00,"Or honestly better yet, we decouple the primary key from the business logic entirely."
472.32,473.04,Using a UID.
473.28,475.60,"Yeah, UIDs, universally unique identifiers."
475.68,479.92,We use those internally and store that manual ID in a separate indexed column.
480.08,489.68,"That way, when we run the ingestion script to pull the CSV data from the Google Sheet, it parses those manual IDs without throwing duplication errors against the system's own auto-incrementing integers."
490.08,490.80,That makes sense.
490.96,492.48,But what about the money?
492.80,496.08,The automated payment gateway was down during this fallback.
496.24,502.08,The system has to allow bulk uploads of these QR payment slips to bridge the revenue gap.
502.32,502.48,Right.
502.72,514.64,"So our synchronization script isn't just pulling text, it has to map images from that Google Drive blob storage, link them to the newly ingested manual rental IPs, and then flag them for human verification in the admin panel."
514.96,518.32,"It demands an asynchronous, event-driven architecture."
518.48,521.52,You can't just run a simple insert statement and call it a day.
521.76,522.56,"No, it's way too heavy."
522.80,527.84,The ingestion process has to put these offline records into a temporary quarantine table first.
528.16,533.44,Then a background worker process validates the manual data against the physical fleet state.
533.76,536.00,Checking if the manual return time makes physical sense.
536.32,536.72,Exactly.
536.88,538.16,Does the return time work?
538.32,542.24,Does the uploaded payment slip actually match the manual rental ID?
542.40,544.88,Only then does it merge into the primary ledger.
545.04,548.96,It forces us to build a data schema that gracefully accepts manual overrides.
549.44,550.16,Which is wild.
550.32,552.56,Think about the software you use every day.
552.72,561.04,"If your banking app servers go down, you can't just fill out a paper form and expect the bank to instantly update your digital barrence when they come back online."
561.28,563.68,You just stare at the loading wheel of death and panic.
563.92,564.08,Right.
564.24,565.84,Consumer apps are fragile by design.
566.16,571.60,But we are designing a system that explicitly acknowledges its own fragility and builds a procedural safety net.
572.00,575.60,Which heavily influences how we structure the primary applications.
575.76,580.64,We cannot build a monolithic application where the front end and back end are tightly coupled.
580.80,586.56,We have to heavily decouple the front-end user experience from the back-end operational engine.
586.88,589.28,"Right, let's explore that primary digital platform."
589.44,596.96,"When the servers are actually humming and the API is returning 200 okays, we have two very distinct software environments to architect."
597.12,603.44,"The customer-facing mobile app and the back-end maintenance admin web app, which also includes the tablet-based staff app."
603.76,605.12,Let's start with the customer app.
605.28,610.32,"The mandate for the phase one launch is a strict minimum viable product, an MVP."
610.48,616.56,We have to strip away everything that isn't absolutely essential for getting a person onto a bicycle legally and safely.
616.96,620.56,"Yeah, reading through the specs, they are ruthless about keeping this lean."
620.72,625.04,"We need user registration, which, by the way, has complex legal constraints."
625.20,627.28,It must include explicit PDPA.
627.60,629.04,Thailand's Personal Data Protection Act.
629.28,629.44,Right.
629.60,632.72,PDPA consent workflows and robust ID verification.
632.80,640.72,"Then we need the rental recording, return recording, vehicle ID scanning via a QR code reader built into the app, and payment reference linking."
641.04,641.60,And that is it.
641.76,643.52,That is the entire feature set for launch.
643.84,649.36,"No live GPS tracking maps, no gamification, no dynamic surge pricing based on Rather."
649.68,650.16,None of it.
650.32,654.08,"Just a rock solid, tightly looped transactional flow."
654.32,657.44,Adding features to an MVP introduces new points of failure.
657.76,658.40,I can see that.
658.56,667.04,"If you try to launch with a complex rewards point system and that microservice crashes, the user can't rent a bike because the app just hangs while trying to fetch their point balance."
667.44,668.24,Exactly.
668.56,675.36,"By isolating the core transactional loop, we ensure that getting those hundred bikes moving is the sole priority."
675.84,680.08,"You know, it's like a restaurant analogy, but let's extend it to the actual software architecture."
680.32,686.32,The customer app is the sleek storefront and the dining room of a high-end restaurant.
686.72,690.64,"The lighting is perfect, the menu is curated, the tables are pristine."
690.96,691.20,Right.
691.28,693.76,The customer only sees a highly controlled environment.
694.16,697.36,"They point their phone camera, hit pay, and get a bike."
697.60,702.80,The API is basically the waiter taking requests from the dining room and carrying them to the back.
702.96,708.08,"But the back-end staff app, that is the restaurant kitchen during the Friday night dinner rush."
708.24,708.88,"Oh, absolutely."
709.12,715.84,"There's grease, there's fire, pots are boiling over, but there is a highly organized operational system managing the chaos."
716.16,724.00,"And to carry that analogy further, if the waiter, meaning the API, drops dead because of network latency, the kitchen doesn't stop cooking."
724.16,730.40,"The staff simply walks out into the dining room with a physical notepad, which is our Google Forms backup, and takes the order manually."
730.80,737.44,"Because the operational interface is built to handle reality, and reality involves a massive amount of manual intervention."
737.76,739.60,The tourist is very specific about this.
739.76,744.80,The staff app needs a manual override function with very high-level privileges.
745.12,747.12,Why give them so much power at the station level?
747.52,749.20,Because tourists are unpredictable.
749.36,753.68,A tourist's phone battery might die right as they pull up to the station to return the bike.
753.92,758.24,Or maybe they haven't bought a local SIM card yet and have zero internet access.
758.64,761.92,So the software cannot punish the user for physical limitations.
762.16,762.64,Exactly.
762.80,770.64,The manual override allows the station staff to use their physical hardware to manually initiate or terminate a rental for a user.
770.80,776.80,And the specs mandate an all-in-one PC and a ruggedized tablet at these main station hubs.
777.12,780.00,"Think about the API security implications of that, though."
780.16,787.12,We have to build an endpoint that allows a staff member to essentially impersonate a user session to force a state change on a vehicle.
787.44,787.60,Right.
787.68,792.24,It bypasses the standard cryptographic token exchange that normally happens on the user's phone.
792.56,802.48,"We'd have to implement a strict JWT, you know, JSON web token architecture, but with a highly granulated RBAC, a role-based access control matrix."
802.72,809.68,The staff token needs permissions to execute mutations on the database that a standard user token would immediately be denied.
809.92,813.20,"And speaking of the security matrix, it is incredibly complex."
813.44,817.20,"The Tor lists distinct, non-overlapping access levels."
817.36,824.88,"You've got public user, registered user, station staff, technician, operations manager, admin, and finally a government viewer."
825.36,829.04,Implementing that matrix requires really careful middleware design.
829.20,834.08,"Every single API route has to check not just authenticate, like who are you, but authorization."
834.24,838.08,Are you actually allowed to do this specific action to this specific database row?
838.32,842.08,And that government viewer role presents a really unique architectural challenge.
842.24,849.92,"The local government, the Lamfoung Provincial Administrative Organization, owns the physical assets, but a private operator is running the daily logistics."
850.24,855.44,So the government needs total transparency without the ability to accidentally drop a database table or alter financial records.
855.68,856.00,Exactly.
856.16,858.00,"They need to see everything, touch nothing."
858.40,863.28,We would probably need to set up a read-only replica of our Postgres database for that.
863.52,867.92,The government viewer dashboard queries that read-only replica exclusively.
868.08,874.96,"That way, even if the government pulls a massive, unoptimized historical report spanning five years of data."
875.44,881.28,It doesn't lock the tables on the primary transactional database and prevent tourists from renting bikes in real time.
881.52,884.88,It completely isolates the analytical load from the transactional load.
885.20,892.48,"Okay, so we've defined the dual system resilience and we've separated the pristine customer front end from the heavy-duty operational back end."
892.56,894.48,But deploying this is fraught with risk.
894.64,899.20,You don't just push a button and launch a smart city platform for a hundred electric vehicles overnight.
899.52,903.04,"No, which is why the TORD dictates a six-phase deployment roadmap."
903.20,907.28,"But it's not just a timeline, it's really a narrative evolution of risk and complexity."
907.44,909.36,Phase one is launch and operate.
909.60,916.88,"This is pure survival mode, the MVP app, the Google Backup workflow, and physically getting 100 bikes moving safely on the streets."
917.28,920.56,We use phase one to capture baseline operational data.
920.64,923.92,Then phase two is stabilize and optimize.
924.16,928.80,"Before we start writing any new feature code, we analyze the friction points from phase one."
929.20,932.64,"Right, like where are users dropping out of the registration funnel?"
932.80,935.44,Which API endpoints are showing the highest latency?
935.60,938.32,Are the manual override functions being used more than expected?
938.64,945.52,"We refine the UX and optimize the database indexes based on actual human behavior, not our initial whiteboard assumptions."
945.84,949.36,"Then we cross the chasm into phase three, which they call connected fleet."
949.52,951.84,This is where the physical hardware gets a digital voice.
952.00,958.80,"We integrate IoT telemetry, GPS modules, smart locks, and live battery monitoring directly into the software ecosystem."
959.12,961.04,"Yes, the true IoT phase."
961.36,964.48,"But wait, reading this requirement initially really threw me through a loop."
964.64,968.96,They're launching 100 e-bikes in phase one without live TPS tracking on the bikes.
969.28,969.44,Right.
969.68,975.04,"From a security standpoint, aren't we basically handing out free electric bikes and just hoping people bring them back?"
975.28,978.80,How do you architect a public bike share system without GPS on day one?
979.12,982.56,"It goes against every instinct we have as modern developers, doesn't it?"
982.72,996.96,"We assume tracking is a prerequisite, but what's fascinating here is if we connect this to the bigger picture, delaying the IoT integration reveals a profound understanding of software procurement, hardware supply chains, and avoiding vendor lock-in."
997.52,1000.56,"Oh, vendor lock-in at the hardware level is devastating."
1000.96,1001.68,It's the worst.
1001.84,1013.60,"If we buy a hundred bikes that use a proprietary GPS module, and that module only communicates via a closed, encrypted binary protocol to the manufacturer's proprietary servers, we are trapped."
1013.92,1017.52,We would be entirely at the mercy of the bike manufacturer's API.
1017.60,1019.84,"If their servers go down, our fleet goes blind."
1020.00,1024.08,"If they decide to triple the API access fees next year, we just have to pay it."
1024.32,1034.72,"So by intentionally separating the mechanical launch of the bikes in phase one from the deep IoT integration in phase three, the project essentially forces us to build an open architecture vendor agnostic system."
1035.04,1035.36,Exactly.
1035.52,1040.80,"We architect our back end to accept incoming telemetry via a standard protocol, like an MQTT broker."
1041.04,1051.92,"That way, in phase three, whether we buy GPS modules from vendor A or vendor B, as long as they can publish standard JSON payloads to our MQTT topics, our software can read it."
1052.16,1059.28,"But in phase one, the theft prevention relies entirely on analog choke points and strict operational SOPs, standard operating procedures."
1059.52,1062.56,Meaning we use the software to enforce physical accountability.
1062.80,1066.48,The registration process requires strict ID verification.
1066.72,1073.12,"The system demands that a physical human being, the station staff, verifies the bike, left the hub, and return to the hub."
1073.44,1074.80,It's a calculated risk.
1074.96,1085.20,"It proves that disciplined human operations, supported by a basic transactional database, can substitute for expensive, potentially buggy technology during a really vulnerable launch window."
1085.44,1087.12,And it builds operational muscle memory.
1087.28,1094.08,"If the staff can manage the fleet manually in phase one, they will be practically unstoppable when the software starts automating the tracking in phase three."
1094.32,1095.04,Precisely.
1095.28,1099.68,"And moving on from there, phase four is smart tourism integration."
1099.84,1102.80,The software expands horizontally into the local economy.
1102.96,1112.16,"We build the green passport program, digital stamps, API integrations with local Lana cafes for coupon redemption, hooks for hotel booking systems."
1112.48,1112.88,Nice.
1113.12,1119.68,And then phase five evolves the software from a mobility app into a true smart city platform.
1119.84,1127.36,"We begin aggregating all the trip data, anonymizing it, and feeding it into carbon dashboards and mobility heat maps for the Lanthune urban planners."
1127.60,1130.56,"And finally, phase six, AI mobility management."
1130.72,1133.12,We introduce machine learning for demand forecasting.
1133.44,1142.32,"So the system analyzes historical data, weather patterns, and local event calendars to predict that, say, station A is going to be 20 extra bikes tomorrow morning before the users even wake up."
1142.64,1148.72,"And it also introduces predictive maintenance, analyzing battery degradation curves to flag a component before it actually fails."
1148.96,1151.04,The discipline of this roadmap is striking to me.
1151.20,1152.32,AI is phase six.
1152.40,1154.16,They refuse to put the cart before the horse.
1154.48,1160.00,"Right, because you cannot train an AI model without massive amounts of clean, structured historical data."
1160.08,1166.24,"Aaron Powell Which means, as architects, our data schema in phase one has to be designed as an immutable ledger."
1166.48,1171.28,We can't have standard UP date statements just overwriting historical states.
1171.68,1179.60,"We need to use event sourcing, where every single change to a bike status is appended as a new row with a strict timestamp."
1179.76,1183.84,That event log is what the AI will eventually digest years down the line.
1184.16,1184.48,Exactly.
1184.64,1190.56,"We are building the data warehouse infrastructure on day one, even though we won't query it heavily until phase five."
1190.88,1194.56,But let's bring this abstract data talk back down to the physical realm.
1194.72,1198.00,How do these digital rules actually govern the physical hardware?
1198.16,1201.92,We need to establish the tethering mechanisms between the software and the metal.
1202.24,1204.24,The tethering begins with the fleet IDs.
1204.40,1209.60,The architecture demands a highly normalized tripartite identification system for every vehicle.
1210.00,1211.84,Meaning a bike isn't just one thing.
1212.00,1215.04,"In the database, it exists as a digital asset ID."
1215.12,1223.28,"But in the physical world, it has a scannable QR code decal for the user's mobile app and has a hard-stamped mechanical frame number for the maintenance technicians."
1223.60,1232.16,And the database schema has to instantly resolve all three of these identifiers to a unique rental ID the moment a transaction begins.
1232.40,1235.92,It requires a lookup table that maps these distinct keys together.
1236.24,1238.00,"And it requires redundancy logic, right?"
1238.24,1245.36,"If a user's phone camera is broken and they can't scan the QR code, the app must allow manual input of the numerical asset ID."
1245.60,1245.76,Right.
1245.92,1256.00,"Or if the digital asset ID throws a database error because of a corrupted row, the mechanic can open their admin panel and search the physical frame number to pull up the bike's history."
1256.24,1260.48,We have to architect multiple entry points to the exact same digital asset.
1260.80,1267.60,But the integration becomes far more critical and honestly dangerous when we look at the charging infrastructure.
1267.76,1270.64,"I read the electrical schematics for this, and it is no joke."
1270.96,1274.80,The TR calls for the free to air smart charger system at the main hubs.
1275.04,1278.24,"Yeah, the primary hub has 36 individual charging slots."
1278.48,1283.52,"At peak load, this station is pulling up to 12.11 kilowatts of power from the lampheam grid."
1283.60,1285.28,We aren't trickle charging smartphones here.
1285.44,1287.36,This is industrial scale electrical flow.
1287.60,1292.64,Which elevates our software from a simple transactional ledger into a critical life safety system.
1292.88,1299.20,The software architecture must interface directly with the thermal sensors embedded inside those charging cabinets.
1299.44,1308.24,"Because the tow explicitly demands thermal runaway prevention logic, lithium-ion batteries are incredible, but they are volatile."
1308.40,1314.32,"If a cell destabilizes and goes into thermal runaway, it catches fire and it buns extremely hot."
1314.56,1323.52,"The specs state that if a single charging slot hits 55 degrees Celsius, which is about 131 degrees Fahrenheit, the software must intervene."
1323.84,1330.24,"Let's discuss the architectural mechanics of that intervention, because you cannot rely on a standard REST API polling architecture for this."
1330.48,1331.28,Absolutely not.
1331.44,1341.12,"If the server asks the charging cabinet for its temperature every 10 seconds, a battery can breach the 55 degree threshold and ignite in the nine seconds between those API calls."
1341.52,1343.36,So we push the logic to the edge.
1343.52,1350.00,We can't rely on a round-trip network call to an AWS server in Singapore to tell a relay in northern Thailand to shut off.
1350.16,1354.24,We need to write localized scripts that run directly on a microcontroller right at the charging hub.
1354.56,1354.80,Right.
1354.96,1367.20,"If the local sensor reads 55 degrees, the local edge software immediately triggers a hardware interrupt, forcing a normally closed relay to snap open, physically cutting the AC power to that specific slot."
1367.52,1375.60,Only after the physical safety action is taken at the edge does the system send an asynchronous high-priority alert back to our central cloud database.
1375.92,1384.24,"And that alert triggers a webhook, pushing a critical notification to the station staff's tablet, isolating the battery digitally so no one tries to use it."
1384.48,1389.36,"It's edge computing for physical safety, backed by cloud computing for operational awareness."
1389.52,1390.24,I love that.
1390.40,1395.28,But the software also has to manage the financial reality of pulling 12 kilowatts from the grid.
1395.44,1399.04,We have to implement time of use or TOU management.
1399.44,1408.32,Because pulling that much power at 2.00 PM when the entire city is running air conditioners during the peak heat of the day is financially ruinous due to peak energy tariffs.
1408.64,1417.68,"The software must be coded to enforce bulk charging during off-peak hours, strictly defined in the TR as 10.0 pm to 9.00 AM."
1418.16,1420.48,But how do we schedule that robustly?
1420.64,1425.60,"We could use a standard cron job on the server, but what if the server clock drifts?"
1425.84,1429.12,Or what if the network is down at exactly 10 by OPM?
1429.28,1432.40,The edge controller wouldn't receive the start charging command.
1432.72,1436.00,So we pushed the TOU schedule down to the edge controller as well.
1436.16,1439.44,The cloud server sinks the schedule to the cabinet whenever it has a connection.
1439.76,1442.96,"Okay, so the staff physically plugs in depleted batteries during the 3."
1452.56,1459.20,"It waits autonomously until its local clock strikes 10.00 pm, then it closes the relays and begins the bulk charge."
1459.52,1462.32,And we have to write intelligent override logic for that too.
1462.48,1469.84,What if there's a massive evening festival and the software calculates that the currently available fleet won't satisfy the projected 6.00 pm demand?
1470.24,1475.84,The system needs an event loop that constantly evaluates fleet availability against historical demand.
1476.08,1486.88,"If it projects a shortfall, it has to selectively override the TOU schedule, eat the higher electricity cost, and priority charge maybe 10 batteries to ensure the service remains operational."
1487.36,1496.56,"The complexity of managing stationary charging is immense, but it really pales in comparison to managing the health of the assets when they are moving around the city."
1496.88,1500.40,"We have to dive into the BMS, the battery management system."
1500.96,1507.36,"Because a battery isn't a dumb block of lead acid, it's a highly sophisticated piece of hardware with its own internal computer."
1507.60,1509.36,Our software needs to talk to it.
1509.52,1514.48,"Every battery requires a unique, immutable digital battery ID in our database."
1514.72,1518.88,And we must architect a relational map between the frame ID and the battery ID.
1518.96,1523.04,A functional e-bike is basically a composite of these two distinct digital entities.
1523.28,1524.88,And they get separated constantly.
1525.04,1530.08,A technician out in the field might pull a depleted battery out of bike A and swap in a fresh battery.
1530.40,1539.20,"The moment they log that swap in the staff app, our back-end database has to instantly decouple the old battery ID from the vehicle ID and tether the new one."
1539.36,1546.48,"If it fails to do that, the system will think bike A has a dead battery when it's actually fully charged, preventing users from renting it."
1546.80,1552.16,"The BMS integration also requires us to track the state of health, or SOH."
1552.40,1556.48,"We aren't just tracking the current state of charge, like whether it's at 80% or 20%."
1556.96,1563.04,We are tracking the long-term degradation of the lithium cells based on internal resistance and total charge cycles.
1563.36,1575.28,"Right, because if a tourist rents a bike with an old battery that reports 100% state of charge, but its state of health is severely degraded, that 100% might only yield a three-kilometer range before voltage sag causes the bike to just shut down."
1575.60,1577.04,Which is a terrible user experience.
1577.36,1579.04,So our software has to run a calculation.
1579.28,1585.60,Current state of charge multiplied by the historical state of health factor to output an accurate estimated range to the user's mobile app.
1585.76,1587.44,We manage expectations through data.
1587.76,1593.28,And that granular tracking of individual components feeds into the macro tracking of the entire fleet.
1593.52,1597.84,The architecture dictates a strict finite state machine logic for the database.
1598.08,1601.92,A bicycle cannot simply be categorized as working or broken.
1602.24,1607.60,"No, the TR mandates it must exist in one of exactly nine states at any given millisecond."
1608.00,1612.08,Let's examine this state machine because it dictates the entire flow of the backend logic.
1612.32,1614.08,"State one, ready to rent."
1614.32,1616.16,"State two, pending inspection."
1616.24,1617.76,"State three, minor adjustment."
1617.92,1621.04,This is for quick fixes like pumping a tire or tightening a break cable.
1621.28,1622.56,State four is maintenance required.
1622.72,1630.80,"State five, waiting for parts, state six, under repair, state seven, quality check, state eight, out of service, and state nine, retired."
1643.12,1643.52,For sure.
1643.76,1654.16,"If mechanic A tries to update a bike to state seven, while an automated script simultaneously tries to update it to state eight based on a sensor reading, the database has to resolve that conflict without corrupting the state."
1654.48,1659.12,"Okay, here's where it gets really interesting: the digital quarantine built into this sequence."
1659.28,1670.00,"When a mechanic finishes a heavy repair in state six under repair, the software logic physically prevents them from transitioning the bike directly back to state one, ready to rent."
1670.32,1673.60,"It forces a transition to state seven, quality check."
1673.76,1675.84,It acts as an enforced two-man rule.
1676.00,1682.08,"The mechanic marks the repair complete, but the database will reject any rental API request for that vehicle ID."
1682.32,1692.72,"It remains digitally locked until a second, distinct user account with senior technician privileges physically inspects the bike, opens their app, and manually clears the quality check status."
1692.96,1695.36,It solves a massive human error problem.
1695.52,1703.36,It prevents an exhausted mechanic at the end of a 12-hour shift from accidentally releasing a bike with a loose front axle back into the public pool.
1703.52,1706.88,We are using database constraints to enforce physical safety protocols.
1707.12,1714.48,And we need every ounce of that strict state machine logic to satisfy what is arguably the most brutal requirement in the entire TOR.
1714.72,1716.88,The 48-hour repair response protocol.
1717.20,1718.08,The SLA.
1718.32,1720.08,The service level agreement.
1720.24,1722.48,This is where the government really bears its teeth.
1722.64,1728.56,The contract stipulates that the operator must maintain a minimum of 90% fleet availability at all times.
1728.80,1732.88,"Out of 100 bikes, no more than 10 can be out of commission simultaneously."
1733.20,1744.64,"And to guarantee that 90% threshold, the SLA dictates that if a bike is flagged as damaged, it must enter the active inspection and repair process within exactly 48 absolute hours, not business hours."
1744.96,1745.04,Right.
1745.12,1746.56,If it breaks at 11.0 p.m.
1746.64,1749.04,"on a Friday, the clock is ticking right through the weekend."
1749.20,1753.84,How do we build a reliable 48-hour countdown timer across a distributed system?
1754.00,1757.12,We can't just set a set timeout function in the application memory.
1757.28,1759.52,"If the server reboots, the timer just vanishes."
1759.76,1766.72,"We use an event-driven architecture, likely leveraging a robust message broker like RabbitNQ or Kafka combined with database triggers."
1766.88,1776.00,"When a bike's status transitions from ready to rent to maintenance required, maybe triggered by a user submitting an incident report via the mobile app, the database executes a trigger."
1776.24,1783.76,"And that trigger generates an event payload containing the vehicle ID, the timestamp, and the GPS coordinates at the station where the bike was left."
1783.92,1785.92,It drops that payload into a queue.
1786.08,1790.48,We then have back-end worker processes evaluating that queue constantly.
1790.80,1797.68,"The software automatically generates a maintenance work order, assigning it to the specific tablet of the nearest available field technician."
1798.08,1801.44,But the real architectural work is the escalation logic.
1801.60,1807.92,The system has to evaluate the time elapsed against the SLA deadline and trigger automated escalating actions.
1808.24,1812.08,So we have to write the cron jobs or event loops for the escalation path.
1812.32,1816.32,"At hour 12, the system sends a passive push notification to the dashboard."
